timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1619920584120,273,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,158,4,4,http://localhost:8080/?token=465865941&user=1964515552&conf=3,273,0,0
1619920584208,292,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,158,5,5,http://localhost:8080/?token=465865941&user=1964515552&conf=3,292,0,0
1619920584298,275,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,158,6,6,http://localhost:8080/?token=465865941&user=1964515552&conf=3,275,0,0
1619920584388,275,HTTP Request,200,OK,Thread Group 1-4,text,true,,367,158,7,7,http://localhost:8080/?token=465865941&user=1964515552&conf=3,275,0,0
1619920584480,283,HTTP Request,200,OK,Thread Group 1-5,text,true,,367,158,8,8,http://localhost:8080/?token=465865941&user=1964515552&conf=3,283,0,0
1619920584571,290,HTTP Request,200,OK,Thread Group 1-6,text,true,,367,158,9,9,http://localhost:8080/?token=465865941&user=1964515552&conf=3,290,0,0
1619920584662,291,HTTP Request,200,OK,Thread Group 1-7,text,true,,367,158,10,10,http://localhost:8080/?token=465865941&user=1964515552&conf=3,291,0,0
1619920584757,278,HTTP Request,200,OK,Thread Group 1-8,text,true,,367,158,11,11,http://localhost:8080/?token=465865941&user=1964515552&conf=3,278,0,0
1619920584848,277,HTTP Request,200,OK,Thread Group 1-9,text,true,,367,158,11,11,http://localhost:8080/?token=465865941&user=1964515552&conf=3,277,0,0
1619920584935,292,HTTP Request,200,OK,Thread Group 1-10,text,true,,367,158,11,11,http://localhost:8080/?token=465865941&user=1964515552&conf=3,292,0,0
1619920585026,281,HTTP Request,200,OK,Thread Group 1-11,text,true,,367,158,11,11,http://localhost:8080/?token=465865941&user=1964515552&conf=3,281,0,0
1619920585207,300,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,158,11,11,http://localhost:8080/?token=465865941&user=1964515552&conf=3,300,0,0
1619920585571,252,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,158,11,11,http://localhost:8080/?token=465865941&user=1964515552&conf=3,252,0,0
