timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1619918978557,385,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,158,5,5,http://localhost:8080/?token=465865941&user=1964515552&conf=2,385,0,0
1619918978644,386,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,158,6,6,http://localhost:8080/?token=465865941&user=1964515552&conf=2,386,0,0
1619918978735,378,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,158,7,7,http://localhost:8080/?token=465865941&user=1964515552&conf=2,378,0,0
1619918978826,385,HTTP Request,200,OK,Thread Group 1-4,text,true,,367,158,8,8,http://localhost:8080/?token=465865941&user=1964515552&conf=2,385,0,0
1619918978920,383,HTTP Request,200,OK,Thread Group 1-5,text,true,,367,158,9,9,http://localhost:8080/?token=465865941&user=1964515552&conf=2,383,0,0
1619918979038,386,HTTP Request,200,OK,Thread Group 1-6,text,true,,367,158,10,10,http://localhost:8080/?token=465865941&user=1964515552&conf=2,386,0,0
1619918979099,390,HTTP Request,200,OK,Thread Group 1-7,text,true,,367,158,11,11,http://localhost:8080/?token=465865941&user=1964515552&conf=2,390,0,0
1619918979190,378,HTTP Request,200,OK,Thread Group 1-8,text,true,,367,158,11,11,http://localhost:8080/?token=465865941&user=1964515552&conf=2,378,0,0
1619918979281,386,HTTP Request,200,OK,Thread Group 1-9,text,true,,367,158,11,11,http://localhost:8080/?token=465865941&user=1964515552&conf=2,386,0,0
1619918979372,382,HTTP Request,200,OK,Thread Group 1-10,text,true,,367,158,11,11,http://localhost:8080/?token=465865941&user=1964515552&conf=2,382,0,1
1619918979461,348,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,158,11,11,http://localhost:8080/?token=465865941&user=1964515552&conf=2,348,0,0
1619918979463,396,HTTP Request,200,OK,Thread Group 1-11,text,true,,367,158,11,11,http://localhost:8080/?token=465865941&user=1964515552&conf=2,396,0,0
1619918979735,354,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,158,11,11,http://localhost:8080/?token=465865941&user=1964515552&conf=2,354,0,0
